codigoarticulo	codigofabrica	ubicacion	codigodemarca	nombre_marca	
0403-GTE611AL-S	SP-611A		21	XXI	
0403-GTE611AM-S	SP-611A		21	XXI	
0403-GTE611AS-S	SP-611A	2-2-06-1-04	21	XXI	
0403-GTE611AXL-S	SP-611A	2-2-06-1-02	21	XXI	
0403-GTE611AXXL-S	SP-611A	2-3-06-1-02	21	XXI	
0403-GTE611AXXXL-S	SP-611A	2-3-06-1-01	21	XXI	
0403-GTE624AL-P	SP-624A	2-3-05-1-02	21	XXI	
0403-GTE624AM-P	SP-624A	2-3-05-1-03	21	XXI	
0403-GTE624AS-P	SP-624A	2-3-06-3-05	21	XXI	
0403-GTE624AXL-P	SP-624A	2-2-06-2-03	21	XXI	
0403-GTE624AXXL-P	SP-624A	2-2-06-2-02	21	XXI	
0403-GTE624AXXXL-P	SP-624A	2-2-06-2-04	21	XXI	
0403-GTE628AL-S	SP-628A	2-2-06-3-01	21	XXI	
0403-GTE628AM-S	SP-628A	2-2-06-1-03	21	XXI	
0403-GTE628AS-S	SP628A	2-2-06-1-01	21	XXI	
0403-GTE628AXL-S	SP-628A	2-2-06-3-02	21	XXI	
0403-GTE628AXXL-S		2-2-06-3-03	21	XXI	
0403-GTE628AXXXL-S		2-2-06-2-01	21	XXI	
1000V7	99999	1-3-07-5-02	062	BOTTA	
10010C	10010C	1-3-09-2-05	062	BOTTA	
10015C	10015C	1-3-09-2-05	062	BOTTA	
10020C	10020C	1-3-09-2-05	062	BOTTA	
10025C	10025C	1-3-09-2-06	062	BOTTA	
10030C	10030C	1-3-09-2-06	062	BOTTA	
10035C	10035C	1-3-09-2-06	062	BOTTA	
10036C	10036C	1-3-09-2-06	062	BOTTA	
10040C	10040C	1-3-09-2-06	062	BOTTA	
10045C	10045C	1-3-09-2-06	062	BOTTA	
10050C	10050C	1-3-09-2-06	062	BOTTA	
10055C	10055C	1-3-09-2-06	062	BOTTA	
10060C	10060C	1-3-09-2-07	062	BOTTA	
10065C	10065C	1-3-09-2-07	062	BOTTA	
10070C	10070C	1-3-09-2-07	062	BOTTA	
10072C	10072C	1-3-09-2-07	062	BOTTA	
1010C	1010C	1-3-05-4-04	062	BOTTA	
1010I	1010I	1-3-05-4-05	062	BOTTA	
10170C	10170C	1-3-09-2-07	062	BOTTA	
10176C	10176C	1-3-09-2-07	062	BOTTA	
10200C	10200C	1-3-09-2-07	062	BOTTA	
1020C	1020C	1-3-05-4-06	062	BOTTA	
1020I	1020I	1-3-05-4-05	062	BOTTA	
10210C	10210C		062	BOTTA	
10211C	10211C		062	BOTTA	
10220C	10220C	1-3-09-2-07	062	BOTTA	
10230C	10230C		062	BOTTA	
10240C	10240C		062	BOTTA	
10250C	10250C	1-3-09-2-07	062	BOTTA	
10260C	10260C		062	BOTTA	
10261C	10261C		062	BOTTA	
10262C	10262C	1-3-09-2-07	062	BOTTA	
10264C	10264C	1-3-09-2-07	062	BOTTA	
10265C	10265C	1-3-09-2-07	062	BOTTA	
10266C	10266C	1-3-09-1-07	062	BOTTA	
10270C	10270C	1-3-09-1-07	062	BOTTA	
10275C	10275C	1-3-09-1-07	062	BOTTA	
1030C	1030C	1-3-05-4-07	062	BOTTA	
1030I	1030I	1-3-05-4-06	062	BOTTA	
11005C	11005C	1-3-09-1-07	062	BOTTA	
11006C	11006C	1-3-09-1-07	062	BOTTA	
11009C	11009C	1-3-09-1-07	062	BOTTA	
11010C	11010C	1-3-09-1-07	062	BOTTA	
11013C	11013C	1-3-09-1-07	062	BOTTA	
11014C	11014C	1-3-09-1-06	062	BOTTA	
11015C	11015C	1-3-09-1-06	062	BOTTA	
11017C	11017C	1-3-09-1-06	062	BOTTA	
11020C	11020C	1-3-09-1-06	062	BOTTA	
1115C	1115C		062	BOTTA	
1115I	1115I	1-3-05-4-08	062	BOTTA	
1115LC	1115LC	1-3-07-4-01	062	BOTTA	
1115LI	1115LI	1-3-07-4-01	062	BOTTA	
1120C	1120C	1-3-07-4-02	062	BOTTA	
1120E	1120E	1-3-07-4-02	062	BOTTA	
1120I	1120I	1-3-07-4-02	062	BOTTA	
1130C	1130C	1-3-07-4-03	062	BOTTA	
1130I	1130I	1-3-07-4-03	062	BOTTA	
1150C	1150C	1-3-07-4-04	062	BOTTA	
1150I	1150I	1-3-07-4-04	062	BOTTA	
1150LC	1150LC	1-3-07-4-05	062	BOTTA	
1150LI	1150LI	1-3-07-4-05	062	BOTTA	
1160C	1160C	1-3-07-4-06	062	BOTTA	
1160I	1160I	1-3-07-4-06	062	BOTTA	
1180C	1180C	1-3-07-4-07	062	BOTTA	
1180I	1180I	1-3-07-4-07	062	BOTTA	
1190C	1190C	1-3-09-4-01	062	BOTTA	
1190I	1190I	1-3-09-4-01	062	BOTTA	
1200C	1200C	1-3-09-4-02	062	BOTTA	
1200I	1200I	1-3-09-4-02	062	BOTTA	
1210I	1210I	1-3-09-4-03	062	BOTTA	
1212C	1212C	1-3-09-4-03	062	BOTTA	
1212I	1212I	1-3-09-4-03	062	BOTTA	
1220I	1220I	1-3-09-4-03	062	BOTTA	
2060C	2060C	1-3-09-4-03	062	BOTTA	
2070C	2070C	1-3-09-4-03	062	BOTTA	
2080C	2080C	1-3-09-4-04	062	BOTTA	
2090C	2090C	1-3-09-4-04	062	BOTTA	
2100C	2100C	1-3-09-4-05	062	BOTTA	
2101C	2101C	1-3-09-4-05	062	BOTTA	
2102C	2102C	1-3-09-4-05	062	BOTTA	
2110C	2110C	1-3-09-4-05	062	BOTTA	
2120C	2120C	1-3-09-4-06	062	BOTTA	
2130C	2130C	1-3-09-4-06	062	BOTTA	
2131C	2131C	1-3-09-4-06	062	BOTTA	
2132C	2132C	1-3-09-4-06	062	BOTTA	
2133C	2133C	1-3-09-4-06	062	BOTTA	
2134C	2134C	1-3-09-4-06	062	BOTTA	
2135C	2135C	1-3-09-4-06	062	BOTTA	
2136C	2136C	1-3-09-4-06	062	BOTTA	
2137C	2137C	1-3-09-4-07	062	BOTTA	
21381C	21381C	1-3-09-4-07	062	BOTTA	
21382C	21382C	1-3-09-4-07	062	BOTTA	
2138C	2138C	1-3-09-4-07	062	BOTTA	
2139C	2139C	1-3-09-4-07	062	BOTTA	
2150C	2150C	1-3-09-4-07	062	BOTTA	
21565C	21565C	1-3-09-3-06	062	BOTTA	
2156C	2156C	1-3-09-4-07	062	BOTTA	
2156CI	2156CI		062	BOTTA	
2157C	2157C	1-3-09-4-07	062	BOTTA	
21581C	21581C	1-3-09-3-06	062	BOTTA	
2158C	2158C	1-3-09-3-06	062	BOTTA	
2158CI	2158CI		062	BOTTA	
2165C	2165C	1-3-09-3-06	062	BOTTA	
2170C	2170C	1-3-09-3-06	062	BOTTA	
2180C	2180C	1-3-09-3-06	062	BOTTA	
2190C	2190C	1-3-09-3-06	062	BOTTA	
2195C	2195C	1-3-09-3-06	062	BOTTA	
2200C	2200C	1-3-09-3-06	062	BOTTA	
2201C	2201C	1-3-09-3-07	062	BOTTA	
2205C	2205C	1-3-09-3-07	062	BOTTA	
2210C	2210C	1-3-09-4-05	062	BOTTA	
2214C	2214C	1-3-09-3-07	062	BOTTA	
2215C	2215C	1-3-09-3-07	062	BOTTA	
2216C	2216C	1-3-09-3-07	062	BOTTA	
2220C	2220C	1-3-09-3-07	062	BOTTA	
2221C	2221C		062	BOTTA	
2229C	2229C		062	BOTTA	
2230C	2230C	1-3-09-3-07	062	BOTTA	
2231C	2231C	1-3-09-3-05	062	BOTTA	
2232C	2232C	1-3-09-3-05	062	BOTTA	
2233C	2233C	1-3-09-3-05	062	BOTTA	
2235C	2235C	1-3-09-3-05	062	BOTTA	
2240C	2240C	1-3-09-3-05	062	BOTTA	
2245C	2245C	1-3-09-3-05	062	BOTTA	
2250C	2250C	1-3-09-3-05	062	BOTTA	
2255C	2255C	1-3-09-3-05	062	BOTTA	
2256C	2256C	1-3-09-3-04	062	BOTTA	
2260C	2260C	1-3-09-3-04	062	BOTTA	
2265C	2265C	1-3-09-3-04	062	BOTTA	
2266C	2266C	1-3-09-3-04	062	BOTTA	
2275C	2275C	1-3-09-3-04	062	BOTTA	
2280C	2280C	1-3-09-3-04	062	BOTTA	
2285C	2285C	1-3-09-3-04	062	BOTTA	
2290C	2290C	1-3-09-3-04	062	BOTTA	
250X17 F-111	CU-250X17		061	BHI	
250X17 F-139	250X17 F-139		061	BHI	
250X17 F-336	250X17 F-336		061	BHI	
275X14 F-108	CU-275X14		061	BHI	
275X17 F-139	CU-275X17		061	BHI	
275X18 F-108	CU-275X18	fondo	061	BHI	
300X18 F-175	CU-300X18		061	BHI	
300X21 F-345	300X21 F-345		061	BHI	
3010C	3010C	1-3-09-3-04	062	BOTTA	
3030C	3030C	1-3-09-3-03	062	BOTTA	
3035C	3035C	1-3-09-3-03	062	BOTTA	
3040C	3040C	1-3-09-3-03	062	BOTTA	
3045C	3045C	1-3-09-3-03	062	BOTTA	
3046C	3046C	1-3-09-3-03	062	BOTTA	
3047C	3047C	1-3-09-3-03	062	BOTTA	
3048C	3048C	1-3-09-3-03	062	BOTTA	
3049C	3049C	1-3-09-3-03	062	BOTTA	
305	305		80	CROSS X	
3140C	3140C	1-3-09-3-02	062	BOTTA	
3170C	3170C	1-3-09-3-02	062	BOTTA	
3175C	3175C	1-3-09-3-02	062	BOTTA	
3207C	3207C	1-3-09-3-02	062	BOTTA	
3208C	3208C	1-3-09-3-02	062	BOTTA	
3208CI	3208CI	1-3-05-1-06	062	BOTTA	
32095C	32095C	1-3-09-3-01	062	BOTTA	
3209C	3209C	1-3-09-3-02	062	BOTTA	
3209CI	3209CI		062	BOTTA	
32100C	32100C	1-3-09-3-01	062	BOTTA	
32105C	32105C	1-3-09-3-01	062	BOTTA	
3210C	3210C	1-3-09-3-01	062	BOTTA	
3230C	3230C	1-3-09-3-01	062	BOTTA	
3235C	3235C	1-3-09-3-01	062	BOTTA	
3240C	3240C	1-3-07-3-07	062	BOTTA	
3250C	3250C	1-3-07-3-07	062	BOTTA	
3260C	3260C	1-3-09-3-01	062	BOTTA	
3265C	3265C	1-3-09-3-01	062	BOTTA	
3290C	3290C	1-3-07-3-07	062	BOTTA	
3291C	3291C	1-3-07-3-07	062	BOTTA	
3310C	3310C	1-3-07-3-07	062	BOTTA	
3320C	3320C	1-3-07-3-07	062	BOTTA	
3330C	3330C	1-3-07-3-07	062	BOTTA	
3340C	3340C	1-3-07-3-07	062	BOTTA	
3345C	3345C	1-3-07-3-07	062	BOTTA	
3350C	3350C	1-3-07-3-07	062	BOTTA	
3355C	3355C	1-3-07-3-07	062	BOTTA	
3356C	3356C	1-3-07-3-07	062	BOTTA	
3360C	3360C	1-3-07-3-07	062	BOTTA	
3360CI	3360CI		062	BOTTA	
3400C	3400C	1-3-07-3-06	062	BOTTA	
3405C	3405C	1-3-07-3-06	062	BOTTA	
3410C	3410C	1-3-07-3-06	062	BOTTA	
34150C	34150C	1-3-07-3-06	062	BOTTA	
3415C	3415C	1-3-07-3-06	062	BOTTA	
3416C	3416C	1-3-07-3-06	062	BOTTA	
3500C	3500C	1-3-07-3-07	062	BOTTA	
3520C	3520C	1-3-07-3-06	062	BOTTA	
3525C	3525C	1-3-07-3-06	062	BOTTA	
3530C	3530C	1-3-07-3-05	062	BOTTA	
3531C	3531C	1-3-07-3-05	062	BOTTA	
3532C	3532C	1-3-07-3-05	062	BOTTA	
3580C	3580C	1-3-07-3-05	062	BOTTA	
3581C	3581C	1-3-07-3-05	062	BOTTA	
